"Player","Year","Rnd","Pick","Tm","ID","PosPro","Age","CollegeUniv","PosCollege","Ht","Wt","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle"
"Sterling Shepard",2016,2,40,"NYG","ShepSt00","WR",23,"Oklahoma","WR",70,194,4.48,41,20,123,7,4.35
"Steven Daniels",2016,7,232,"WAS","DaniSt00","ILB",23,"Boston Col.","ILB",71,243,4.86,32,16,112,7.33,4.54
"T.J. Green",2016,2,57,"IND","GreeT.00","FS",21,"Clemson","FS",74,209,4.34,35.5,13,129,NA,NA
"Tajae Sharpe",2016,5,140,"TEN","SharTa00","WR",21,"Massachusetts","WR",74,194,4.55,33.5,11,114,NA,NA
"Tavon Young",2016,4,104,"BAL","YounTa01","CB",22,"Temple","CB",69,183,4.46,34.5,9,118,6.8,3.93
"Taylor Decker",2016,1,16,"DET","DeckTa00","T",23,"Ohio St.","OT",79,310,5.23,29,20,101,7.7,4.76
"Temarrick Hemingway",2016,6,177,"LAR","HemiTe00","TE",23,"South Carolina St.","TE",77,244,4.71,30.5,18,115,6.88,4.31
"Thomas Duarte",2016,7,231,"MIA","DuarTh00","TE",21,"UCLA","TE",74,231,4.72,33.5,12,118,6.97,4.24
"Travis Feeney",2016,6,220,"PIT","FeenTr00","OLB",23,"Washington","OLB",76,230,4.5,40,NA,130,7.2,4.42
"Trevor Davis",2016,5,163,"GNB","DaviTr03","WR",23,"California","WR",73,188,4.42,38.5,11,124,6.6,4.22
"Tyler Boyd",2016,2,55,"CIN","BoydTy00","WR",21,"Pittsburgh","WR",73,197,4.58,34,11,119,6.9,4.35
"Tyler Ervin",2016,4,119,"HOU","ErviTy00","RB",22,"San Jose St.","RB",70,192,4.41,39,17,130,NA,NA
"Tyler Higbee",2016,4,110,"LAR","HigbTy00","TE",23,"West. Kentucky","TE",78,249,4.77,NA,NA,NA,NA,NA
"Tyler Matakevich",2016,7,246,"PIT","MataTy00","OLB",23,"Temple","OLB",72,238,4.81,31,22,112,7.19,4.5
